             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          10498938   general 5-charge   bdneff PD       0:00      1 (Priority)
          10498937   general 4-charge   bdneff PD       0:00      1 (Priority)
          10498968   general 14-charg   bdneff PD       0:00      1 (Priority)
          10498967   general 13-charg   bdneff PD       0:00      1 (Priority)
          10498966   general 12-charg   bdneff PD       0:00      1 (Priority)
          10498965   general 11-charg   bdneff PD       0:00      1 (Priority)
          10498964   general 10-charg   bdneff PD       0:00      1 (Priority)
          10498963   general 9-charge   bdneff PD       0:00      1 (Priority)
          10498962   general 8-charge   bdneff PD       0:00      1 (Priority)
          10498961   general 7-charge   bdneff PD       0:00      1 (Priority)
          10498960   general 6-charge   bdneff PD       0:00      1 (Priority)
          10498959   general 5-charge   bdneff PD       0:00      1 (Priority)
          10498958   general 4-charge   bdneff PD       0:00      1 (Priority)
          10498957   general 3-charge   bdneff PD       0:00      1 (Priority)
          10498956   general 2-charge   bdneff PD       0:00      1 (Priority)
          10498955   general 1-charge   bdneff PD       0:00      1 (Priority)
          10498954   general 0-charge   bdneff PD       0:00      1 (Priority)
          10498974   general 20-charg   bdneff PD       0:00      1 (Priority)
          10498973   general 19-charg   bdneff PD       0:00      1 (Priority)
          10498972   general 18-charg   bdneff PD       0:00      1 (Priority)
          10498971   general 17-charg   bdneff PD       0:00      1 (Priority)
          10498970   general 16-charg   bdneff PD       0:00      1 (Priority)
          10498969   general 15-charg   bdneff PD       0:00      1 (Priority)
          10498995   general 20-charg   bdneff PD       0:00      1 (Priority)
          10498994   general 19-charg   bdneff PD       0:00      1 (Priority)
          10498993   general 18-charg   bdneff PD       0:00      1 (Priority)
          10498992   general 17-charg   bdneff PD       0:00      1 (Priority)
          10498991   general 16-charg   bdneff PD       0:00      1 (Priority)
          10498990   general 15-charg   bdneff PD       0:00      1 (Priority)
          10498989   general 14-charg   bdneff PD       0:00      1 (Priority)
          10498988   general 13-charg   bdneff PD       0:00      1 (Priority)
          10498987   general 12-charg   bdneff PD       0:00      1 (Priority)
          10498986   general 11-charg   bdneff PD       0:00      1 (Priority)
          10498985   general 10-charg   bdneff PD       0:00      1 (Priority)
          10498984   general 9-charge   bdneff PD       0:00      1 (Priority)
          10498983   general 8-charge   bdneff PD       0:00      1 (Priority)
          10498982   general 7-charge   bdneff PD       0:00      1 (Priority)
          10498981   general 6-charge   bdneff PD       0:00      1 (Priority)
          10498980   general 5-charge   bdneff PD       0:00      1 (Priority)
          10498979   general 4-charge   bdneff PD       0:00      1 (Priority)
          10498978   general 3-charge   bdneff PD       0:00      1 (Priority)
          10498977   general 2-charge   bdneff PD       0:00      1 (Priority)
          10498976   general 1-charge   bdneff PD       0:00      1 (Priority)
          10498975   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499003   general 7-charge   bdneff PD       0:00      1 (Priority)
          10499002   general 6-charge   bdneff PD       0:00      1 (Priority)
          10499001   general 5-charge   bdneff PD       0:00      1 (Priority)
          10499000   general 4-charge   bdneff PD       0:00      1 (Priority)
          10498999   general 3-charge   bdneff PD       0:00      1 (Priority)
          10498998   general 2-charge   bdneff PD       0:00      1 (Priority)
          10498997   general 1-charge   bdneff PD       0:00      1 (Priority)
          10498996   general 0-charge   bdneff PD       0:00      1 (Priority)
          10499011   general 15-charg   bdneff PD       0:00      1 (Priority)
          10499010   general 14-charg   bdneff PD       0:00      1 (Priority)
          10499009   general 13-charg   bdneff PD       0:00      1 (Priority)
          10499008   general 12-charg   bdneff PD       0:00      1 (Priority)
          10499007   general 11-charg   bdneff PD       0:00      1 (Priority)
          10499006   general 10-charg   bdneff PD       0:00      1 (Priority)
